goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm/runtime
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    5851	    213739 ns/op	     50000 nominalGas/op	    8432 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    5061	    267519 ns/op	     50000 nominalGas/op	    8433 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    5697	    255665 ns/op	     50000 nominalGas/op	    8430 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    6608	    194139 ns/op	     50000 nominalGas/op	    8435 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/PointEvaluation/fuzzcorp-95-16         	    6031	    186576 ns/op	     50000 nominalGas/op	    8431 B/op	      90 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   53666	     19948 ns/op	       108.0 nominalGas/op	    7046 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   63201	     18747 ns/op	       108.0 nominalGas/op	    7045 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   60409	     19085 ns/op	       108.0 nominalGas/op	    7046 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   65970	     18547 ns/op	       108.0 nominalGas/op	    7045 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   67412	     18759 ns/op	       108.0 nominalGas/op	    7045 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   65730	     18314 ns/op	       108.0 nominalGas/op	    7046 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   70396	     19150 ns/op	       108.0 nominalGas/op	    7045 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   70525	     19124 ns/op	       108.0 nominalGas/op	    7045 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   63501	     19037 ns/op	       108.0 nominalGas/op	    7046 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   64000	     20722 ns/op	       108.0 nominalGas/op	    7045 B/op	      73 allocs/op
