goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm/runtime
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   56580	     22283 ns/op	       108.0 nominalGas/op	    7047 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   49074	     22994 ns/op	       108.0 nominalGas/op	    7047 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   52663	     22247 ns/op	       108.0 nominalGas/op	    7048 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   54972	     22290 ns/op	       108.0 nominalGas/op	    7048 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   57595	     21699 ns/op	       108.0 nominalGas/op	    7047 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   55617	     21567 ns/op	       108.0 nominalGas/op	    7048 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   61614	     22014 ns/op	       108.0 nominalGas/op	    7048 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   56641	     21315 ns/op	       108.0 nominalGas/op	    7045 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   53390	     21436 ns/op	       108.0 nominalGas/op	    7047 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_128-16                   	   49686	     20970 ns/op	       108.0 nominalGas/op	    7047 B/op	      73 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   52567	     23435 ns/op	       156.0 nominalGas/op	    7658 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   51646	     23705 ns/op	       156.0 nominalGas/op	    7657 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   51547	     23469 ns/op	       156.0 nominalGas/op	    7657 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   48369	     23861 ns/op	       156.0 nominalGas/op	    7658 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   50490	     22949 ns/op	       156.0 nominalGas/op	    7658 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   51696	     23474 ns/op	       156.0 nominalGas/op	    7658 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   50206	     23655 ns/op	       156.0 nominalGas/op	    7657 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   48292	     23372 ns/op	       156.0 nominalGas/op	    7658 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   52274	     23057 ns/op	       156.0 nominalGas/op	    7657 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   49485	     23080 ns/op	       156.0 nominalGas/op	    7657 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   49660	     21754 ns/op	      1080 nominalGas/op	    7136 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   54619	     22014 ns/op	      1080 nominalGas/op	    7135 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   56730	     21308 ns/op	      1080 nominalGas/op	    7136 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   56280	     21074 ns/op	      1080 nominalGas/op	    7136 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   49962	     21241 ns/op	      1080 nominalGas/op	    7137 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   59438	     21797 ns/op	      1080 nominalGas/op	    7136 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   54970	     21803 ns/op	      1080 nominalGas/op	    7135 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   52818	     21268 ns/op	      1080 nominalGas/op	    7136 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   53517	     21341 ns/op	      1080 nominalGas/op	    7136 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   57001	     21863 ns/op	      1080 nominalGas/op	    7136 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   46342	     24173 ns/op	      1560 nominalGas/op	    7681 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   47758	     24267 ns/op	      1560 nominalGas/op	    7683 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   52964	     24853 ns/op	      1560 nominalGas/op	    7680 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   48736	     25170 ns/op	      1560 nominalGas/op	    7681 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   49569	     24520 ns/op	      1560 nominalGas/op	    7680 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   48150	     24601 ns/op	      1560 nominalGas/op	    7682 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   54171	     30046 ns/op	      1560 nominalGas/op	    7681 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   49696	     26213 ns/op	      1560 nominalGas/op	    7681 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   45913	     26037 ns/op	      1560 nominalGas/op	    7682 B/op	      75 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_256-16                   	   46993	     26212 ns/op	      1560 nominalGas/op	    7682 B/op	      75 allocs/op
PASS
ok  	github.com/ethereum/go-ethereum/core/vm/runtime	345.916s
