goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-6        	  253806	      4676 ns/op	       665 gas/op	    2368 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-6        	  259651	      4827 ns/op	       665 gas/op	    2368 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-6        	  255228	      4677 ns/op	       665 gas/op	    2368 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-6        	  256466	      4677 ns/op	       665 gas/op	    2368 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-6        	  252301	      4688 ns/op	       665 gas/op	    2368 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-6        	  257078	      4747 ns/op	       665 gas/op	    2368 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-6        	  254986	      4698 ns/op	       665 gas/op	    2368 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-6         	   42112	     28469 ns/op	     10649 gas/op	    3264 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-6         	   43856	     27671 ns/op	     10649 gas/op	    3265 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-6         	   43245	     27485 ns/op	     10649 gas/op	    3264 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-6         	   43162	     28102 ns/op	     10649 gas/op	    3264 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-6         	   44090	     27422 ns/op	     10649 gas/op	    3264 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-6         	   43759	     27378 ns/op	     10649 gas/op	    3264 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-6         	   43801	     28314 ns/op	     10649 gas/op	    3264 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-6         	   43100	     27346 ns/op	     10649 gas/op	    3264 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-6         	   43988	     27411 ns/op	     10649 gas/op	    3264 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-6         	   43711	     27985 ns/op	     10649 gas/op	    3264 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-6              	  209828	      5776 ns/op	      1894 gas/op	    3393 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-6              	  210274	      5908 ns/op	      1894 gas/op	    3393 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-6              	  211347	      5796 ns/op	      1894 gas/op	    3393 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-6              	  211748	      6348 ns/op	      1894 gas/op	    3393 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-6              	  213337	      5763 ns/op	      1894 gas/op	    3393 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-6              	  208554	      5872 ns/op	      1894 gas/op	    3393 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-6              	  207658	      5796 ns/op	      1894 gas/op	    3393 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-6              	  206886	      6368 ns/op	      1894 gas/op	    3393 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-6              	  210644	      5766 ns/op	      1894 gas/op	    3393 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-6              	  212113	      5939 ns/op	      1894 gas/op	    3393 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-6                	  117038	     10389 ns/op	      1894 gas/op	    4609 B/op	      27 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-6                	  118294	     10550 ns/op	      1894 gas/op	    4609 B/op	      27 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-6                	  118278	     10427 ns/op	      1894 gas/op	    4609 B/op	      27 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-6                	  118956	     10427 ns/op	      1894 gas/op	    4609 B/op	      27 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-6                	  116025	     10232 ns/op	      1894 gas/op	    4609 B/op	      27 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-6                	  116630	     10214 ns/op	      1894 gas/op	    4609 B/op	      27 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-6                	  116967	     10615 ns/op	      1894 gas/op	    4609 B/op	      27 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-6                	  111410	     10270 ns/op	      1894 gas/op	    4609 B/op	      27 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-6                	  117184	     10336 ns/op	      1894 gas/op	    4609 B/op	      27 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-6                	  114040	     10638 ns/op	      1894 gas/op	    4609 B/op	      27 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-6         	   18112	     66810 ns/op	     30310 gas/op	   14020 B/op	      45 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-6         	   18060	     67399 ns/op	     30310 gas/op	   14020 B/op	      45 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-6         	   17785	     69968 ns/op	     30310 gas/op	   14020 B/op	      45 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-6         	   17104	     68000 ns/op	     30310 gas/op	   14019 B/op	      45 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-6         	   17002	     68086 ns/op	     30310 gas/op	   14020 B/op	      45 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-6         	   18094	     66943 ns/op	     30310 gas/op	   14020 B/op	      45 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-6         	   17820	     67662 ns/op	     30310 gas/op	   14020 B/op	      45 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-6         	   17584	     68632 ns/op	     30310 gas/op	   14020 B/op	      45 allocs/op
